"group.all" "pa" "lon" "lat" "layer.1" "layer.2" "layer.3" "layer.4" "layer.5" "layer.6"
"343" 2 1 -40.615 -19.921 -8.93625509915061 6.06073749245217 1.39505581940847 -7.41798516441387 -1.49339178278047 -5.78681895418829
"344" 2 1 -40.729 -20.016 -8.83300017385833 6.11831725922025 1.39369816232441 -7.52284907537465 -1.50237453092674 -5.88317982317389
"345" 3 1 -41.174 -20.303 -8.46362409002228 6.35746558700619 1.39186792526674 -8.22612754546185 -1.46589664158267 -6.09965859800055
"346" 3 1 -41.74 -20.493 -7.98636230488516 6.08140811245515 1.28164649543036 -9.06468992142378 -1.44436601291515 -6.20247459198184
"347" 1 1 -42.482 -20.701 -7.74613707252894 5.14932359700205 1.03312320753856 -9.25514165079746 -1.36438558760286 -5.76902186025856
"348" 3 1 -40.855 -17.082 -8.88766107351668 8.34859612431142 1.2312803029548 -7.23644104076581 -1.7744829381967 -6.94764148636819
"349" 2 1 -41.04 -18.73 -9.20965102129285 7.86731126300529 1.23185223265422 -7.76291177130414 -1.75848183436191 -6.50577066634751
"350" 3 1 -41.48 -18.879 -9.16331271967271 8.21263634724575 1.25898265842184 -8.23517567837146 -1.68390602120314 -6.57093907813196
"351" 3 1 -42.526 -19.499 -8.99303006154459 8.35221160265898 1.36267178063707 -8.453129161882 -1.58276605424863 -6.46695185726982
"352" 3 1 -42.916 -20.263 -8.25413850102049 7.43768239643948 1.25819055589243 -8.70458222604052 -1.34182446102665 -6.14535894531849
"353" 3 1 -43.02 -20.502 -8.15751495418711 7.17317294532907 1.31150045055221 -8.71332075228755 -1.24297011681396 -6.04541349898242
"354" 3 1 -41.778 -17.614 -8.34764544653224 7.8058416649764 0.867338819337501 -8.30052032705234 -1.61311231694901 -6.72926604058008
"355" 3 1 -43.117 -19.847 -8.54275520398332 6.81449300840311 1.1871931058469 -9.13837660554949 -1.27199086695879 -5.73277392861183
"356" 1 1 -42.873 -20.778 -8.23199992995358 6.48632743758279 1.32473784319876 -8.85411019988551 -1.24879615057592 -5.88754850544171
"357" 3 1 -41.201 -15.178 -7.66088029626912 7.41777618495554 0.0645004432178638 -7.04792086689197 -1.61013105906354 -6.37701832578984
"358" 1 1 -43.548 -20.291 -8.15268948290743 4.82188670972987 0.701981795142491 -9.60293690030343 -1.18032982449792 -5.21093117746662
"359" 1 1 -43.423 -19.406 -8.48688449429692 5.4831282050421 0.660537681749812 -9.64898557215046 -1.16585322765648 -5.36135063101798
"360" 1 1 -41.352 -12.478 -8.52860165694761 7.41682202922334 0.659949091691189 -7.30901363886664 -2.21305675086373 -6.85133341793824
"361" 2 1 -48.198 -25.378 -11.3526289819654 4.12812776766825 3.7813863554777 -8.47967299586928 -1.00875703157447 -4.67288179469217
"362" 1 1 -48.548 -25.764 -10.6962608675866 4.12721990736391 3.5696909494181 -7.88145518909597 -1.00107233800802 -4.49611619726757
"363" 2 1 -47.896 -24.615 -9.96650808825127 5.97083997503149 3.38970202730692 -8.03806486386761 -1.25981806151047 -5.15930956687246
"364" 2 1 -48.494 -25.275 -10.7211998557329 4.95433141716778 3.82088314343524 -8.28134107681786 -0.841838707225521 -4.78680803060247
"365" 1 1 -48.874 -25.51 -10.0446846608818 4.81941220698733 3.84691328879321 -8.18687181178893 -0.787546850557833 -4.90401749078637
"366" 2 1 -48.623 -25.936 -10.5456488908239 4.36788010205045 3.63253077470046 -7.7207659410505 -0.990217270681277 -4.56837887705458
"367" 2 1 -48.69 -26.01 -10.4010022866946 4.56139466166973 3.6260897521013 -7.57149877420155 -1.00071858330026 -4.59498759793169
"368" 2 1 -48.962 -26.28 -9.19540472501042 4.21535833292396 3.4857756741771 -7.41256326843626 -1.08189527266239 -5.21298063038454
"369" 3 1 -48.784 -26.641 -9.68672486272897 4.81510746294648 3.64874352451201 -7.33096417286814 -1.08041651620759 -5.10547894528358
"370" 1 1 -48.87 -27.001 -9.10614968784679 4.09725833531287 3.68937568168444 -7.27917590050981 -1.01732863513769 -5.29805282142568
"371" 3 1 -48.688 -27.45 -9.37705244037824 4.46467509796823 3.63471022169285 -6.87327291114575 -0.950564599948072 -4.79661198415036
"372" 1 1 -49.232 -28.619 -8.77418185376754 5.34306864532354 3.75942597450332 -6.98681284919188 -1.14396855150357 -5.75956242753371
"373" 3 1 -49.499 -28.711 -8.46652062648629 5.39156820801604 3.75288242060585 -7.10177556628639 -1.16250814424528 -6.04440265473502
"374" 2 1 -49.68 -28.8 -8.50354279404563 5.10144249437865 3.76964098022927 -6.76569299686544 -1.10418324804594 -5.86541698034597
"375" 1 1 -49.726 -28.956 -8.54254984725752 4.99231241631445 3.7633021650737 -6.50114378946251 -1.07087027489349 -5.69419437930854
"376" 1 1 -49.86 -29.07 -8.67893129486507 4.31482832429424 3.78862896534216 -6.24891807942062 -0.991469439388679 -5.49959510493965
"377" 3 1 -49.857 -29.369 -8.77678468481466 4.06360882010295 3.73102176194395 -5.45961949434713 -0.803065211517734 -4.97109896038851
"378" 1 1 -44.781 -23.283 -10.1674479027281 4.69741501940411 2.77574239761731 -9.16882430548027 -1.47533925314679 -5.43289196674125
"379" 2 1 -47.921 -24.182 -10.1643532227465 5.82943995520834 3.28915454640447 -8.4242869809099 -1.29878363537272 -5.31832682022631
"380" 3 1 -47.249 -24.521 -10.7040528364018 5.02625627769701 3.34651699953775 -8.1217524244471 -1.2747896219552 -4.8433807449101
"381" 2 1 -48.616 -24.571 -8.77186962002695 5.67758079557493 3.31588534277121 -7.75597669839153 -1.18793799360475 -5.66185915311575
"382" 1 1 -48.257 -25.22 -11.1522080023466 4.66270553508239 3.87071917449816 -8.55843549592908 -1.01232198725868 -4.79171189700492
"383" 1 1 -48.716 -25.603 -9.55376560952846 3.58207496894704 3.47054724683732 -8.05358759849412 -0.80594443508781 -4.84063105417918
"384" 2 1 -49.23 -26.37 -8.04640771826473 3.1972717703994 3.25111511428686 -7.44397251719018 -1.06236224743943 -5.5306340500699
"385" 2 1 -49.05 -26.73 -9.28790835278687 4.49741750781376 3.63950320620916 -7.19563602174614 -1.12388232418719 -5.45139416170392
"386" 2 1 -48.871 -26.82 -9.31830709389626 4.54991620202981 3.72995725092555 -7.28147387618381 -1.04134427107345 -5.28013656564429
"387" 1 1 -49.77 -26.91 -8.64538368813076 4.80779452600698 3.74787428631984 -7.31050222195551 -1.15395910390988 -6.09954970523136
"388" 2 1 -49.14 -27 -8.9911061845038 4.08591461263814 3.65850875432653 -7.23379116143266 -1.0580464930482 -5.44729210909632
"389" 3 1 -48.78 -27.09 -8.90577613944001 3.52409487877766 3.47760547864536 -7.24011164339942 -0.975503040783724 -5.1122081516848
"390" 1 1 -49.41 -27.09 -9.02958865354642 4.59592138771302 3.77671541600365 -7.19594395563762 -1.10982163481854 -5.73374714490371
"391" 1 1 -50.038 -27.092 -8.53586679504911 4.78525822295278 3.80280751857262 -7.34933495245178 -1.13483134109139 -6.18423286211502
"392" 3 1 -48.78 -27.18 -9.48086081345611 4.73199277507027 3.85986114371373 -7.15470566073115 -1.02695591104095 -5.19107393054767
"393" 2 1 -49.77 -27.27 -8.61362379719089 4.68410547970025 3.77209596859239 -7.28190176217435 -1.09751019257971 -6.00402182143921
"394" 1 1 -49.05 -27.358 -9.03298754122489 4.14675024992209 3.68284999384697 -7.18449226159261 -0.972770280837828 -5.30481237582759
"395" 1 1 -48.78 -27.36 -9.0651024024485 3.81172427811854 3.51012368080055 -7.13288655968485 -0.942573252718672 -4.98029335371147
"396" 2 1 -48.78 -27.54 -9.39015413489828 4.53148599643977 3.65063177616233 -6.84132448457798 -0.911000982092605 -4.75734126298091
"397" 1 1 -48.87 -27.63 -8.69137521394028 3.28340107208082 3.36777824699733 -7.1118055252608 -0.826503522476755 -4.9202234887595
"398" 2 1 -48.693 -27.718 -9.01924691400467 3.73006629287447 3.41563477031136 -6.79722406279044 -0.657886587313097 -4.31847453052142
"399" 1 1 -48.78 -27.99 -8.85216775022594 3.6916667670116 3.49540510146478 -6.67654575976066 -0.733805718462958 -4.56779338460706
"400" 3 1 -48.96 -27.994 -8.67770663961274 3.59480693556249 3.41277108242702 -6.97768909721563 -0.877313737451255 -4.99428425945516
"401" 3 1 -48.959 -28.263 -9.05607214426009 4.78562075113653 3.74483972393105 -6.65825151674236 -0.976497279214778 -5.08327070289771
"402" 1 1 -49.232 -28.353 -8.85113550347269 5.04117378552501 3.69984130419042 -7.28466944104052 -1.1310514363147 -5.65252015559255
"403" 2 1 -49.497 -28.529 -8.53217884126461 5.13506657241493 3.70164675793103 -7.54203940882522 -1.18316135783926 -6.08774889747512
"404" 2 1 -49.59 -28.62 -8.31479797666754 3.60565136825748 3.48575870072976 -7.05906253747822 -1.07618729196833 -5.80212278378734
"405" 2 1 -49.86 -28.8 -8.42507644871883 3.46985831238302 3.65454935184684 -6.81446006753342 -1.0932319418358 -5.82188634124784
"406" 3 1 -49.983 -29.365 -8.71366184373903 2.93225112037707 3.83863141635666 -6.16107570894904 -0.911019251542014 -5.60068642787436
"407" 3 1 -42.004 -21.978 -8.84621184305451 5.86386858357934 1.77977541528407 -8.08793330700653 -1.34909554678794 -5.26235170999815
"408" 1 1 -43.893 -22.001 -8.25084096345996 4.88768171175419 1.10630194082416 -9.21633817408676 -1.38157102728217 -5.07800470553353
"409" 3 1 -42.531 -22.305 -7.90888391891088 3.96530944456184 1.27004340706701 -8.39078299812658 -1.17761689104845 -4.8947221087401
"410" 2 1 -43.413 -22.551 -8.98851352658364 4.22787953303733 1.78753408260681 -8.65836540537176 -1.26753712394133 -4.8387901990422
"411" 3 1 -43.301 -22.952 -9.77543107267871 5.76110642576764 2.52939584716723 -7.33277641574933 -1.55096934408213 -5.17624364647187
"412" 2 1 -46.479 -23.396 -8.37946347537248 5.01297020408698 1.64456445093303 -8.24250771249371 -1.43549693777216 -5.09938305209234
"413" 1 1 -46.768 -23.468 -8.22927257593476 5.07479476369201 1.66104362423632 -8.19676543613116 -1.41945253248482 -5.2556840960961
"414" 3 1 -46.729 -23.566 -8.39562529504005 5.05770954404169 1.63387137944028 -7.97913740921853 -1.4762113962081 -5.21601123176371
"415" 3 1 -45.753 -23.624 -9.35353635678591 2.20894569496232 2.60363954845257 -8.75399582794137 -1.11103642133974 -5.10396332490162
