"group.all" "pa" "lon" "lat" "layer.1" "layer.2" "layer.3" "layer.4" "layer.5" "layer.6"
"1" 2 1 -43.016667 -22.45 -8.27216006400888 3.35418947217759 1.36124879051362 -8.71316344707812 -1.11727756367977 -4.70839970419013
"2" 6 1 -42.724722 -22.343611 -7.99360811181957 3.59966920157196 1.29098984719616 -8.57893480277506 -1.0987693248907 -4.7742309378594
"3" 1 1 -43.031111 -22.461944 -8.27216006400888 3.35418947217759 1.36124879051362 -8.71316344707812 -1.11727756367977 -4.70839970419013
"4" 3 1 -43.033611 -22.461389 -8.27216006400888 3.35418947217759 1.36124879051362 -8.71316344707812 -1.11727756367977 -4.70839970419013
"5" 5 1 -42.725833 -22.342778 -7.99360811181957 3.59966920157196 1.29098984719616 -8.57893480277506 -1.0987693248907 -4.7742309378594
"6" 4 1 -42.760556 -22.354167 -8.41654311448065 4.59015285054609 1.49956613357356 -8.73723787872843 -1.16130950047504 -4.99404439166179
"7" 3 0 -42.99917289 -22.725837543 -9.66215135235025 6.83374087099752 2.60284456099265 -6.92381801725049 -1.53724338403387 -5.24766102251945
"8" 5 0 -42.69917289 -22.525837543 -9.5826589123127 7.05836370790735 2.33481536113309 -7.31987536243781 -1.5212773520161 -5.38230599676489
"9" 3 0 -42.59917289 -22.125837543 -8.14529896059514 5.07411592274016 1.41637654374855 -8.75071819378173 -1.16322410646752 -5.14236965987278
"10" 6 0 -42.49917289 -22.125837543 -8.36052535380544 5.61474259060734 1.47057660520491 -8.76622407197207 -1.24871335835577 -5.28410071019779
"11" 5 0 -42.79917289 -22.625837543 -9.60633570617119 7.00198512012188 2.45552961650344 -7.08846189551278 -1.52419409363301 -5.34778176567733
"12" 4 0 -42.89917289 -22.325837543 -8.60259210456667 4.66978523722452 1.65437374342393 -8.89690292821283 -1.15758402537648 -4.96526756263269
"13" 5 0 -42.59917289 -22.625837543 -9.24628334589728 6.0136887072536 2.01788649421973 -7.5977900213992 -1.44318837117237 -5.07826170112545
"14" 3 0 -42.59917289 -22.425837543 -8.97369286489582 5.78342792368411 1.74521705368554 -8.44377980489448 -1.34198636083097 -5.18242938110541
"15" 2 0 -43.19917289 -22.625837543 -10.1563318537102 6.40660336315823 2.73235467366686 -7.83418874024467 -1.55688804303844 -5.16458334410292
"16" 4 0 -42.69917289 -22.425837543 -9.16485369278123 5.92176931650226 1.89363474959177 -8.57094639022452 -1.37615962987905 -5.22277587046236
"17" 4 0 -43.29917289 -22.625837543 -10.3910331299759 6.2971342989577 2.78558889676887 -8.12865111028842 -1.57856526745452 -5.23199691929546
"18" 4 0 -42.89917289 -22.525837543 -9.7981637953867 6.8900407532276 2.50381195974596 -7.68028066447303 -1.52742211573199 -5.35479818102409
"19" 3 0 -43.19917289 -22.425837543 -8.92623250179103 3.88979498227464 1.7224070373788 -8.69995715926903 -1.19341857909148 -4.75054508836106
"20" 3 0 -42.79917289 -22.425837543 -9.66528957036303 6.72572580723445 2.32364418212885 -8.14891770861503 -1.46504966370253 -5.36842917220483
"21" 6 0 -42.69917289 -22.325837543 -7.99360811181957 3.59966920157196 1.29098984719616 -8.57893480277506 -1.0987693248907 -4.7742309378594
"22" 3 0 -43.29917289 -22.525837543 -10.080155314175 5.31964144040085 2.38766951963565 -9.04703822112863 -1.41493300630974 -5.29515374054434
"23" 2 0 -42.59917289 -22.325837543 -7.95640465978481 3.68117074883624 1.28879999088275 -8.48217356064707 -1.11068168373349 -4.77676066156644
"24" 5 0 -43.09917289 -22.325837543 -9.11703956451285 4.94090526732097 1.87832950346625 -8.9008656118609 -1.22864844937185 -5.01307399362813
"25" 1 0 -43.09917289 -22.625837543 -10.1426271811272 5.8374139700728 2.60007882338247 -8.25346389056869 -1.47640874653896 -5.17041054007902
"26" 2 0 -43.19917289 -22.325837543 -9.31437333970912 5.42700817629494 1.96786355053804 -8.95655998485194 -1.33685635657024 -5.22275934245687
"27" 4 0 -42.69917289 -22.225837543 -8.20902134990759 4.65845445384345 1.36862252487948 -8.68817588378807 -1.16524145459056 -4.99609482927707
"28" 2 0 -42.89917289 -22.725837543 -9.64198648914933 6.86977722759191 2.55463497378189 -6.88800169853126 -1.54897829981951 -5.32305073995511
"29" 2 0 -43.29917289 -22.425837543 -8.97974679026161 4.09811256768911 1.7710928344881 -8.67160994193893 -1.2188313205723 -4.77155750695856
"30" 6 0 -42.49917289 -22.225837543 -8.05391761112229 5.07951547987649 1.38763121911934 -8.53479354474112 -1.17751191746424 -5.15725936746383
"31" 6 0 -42.79917289 -22.225837543 -8.5434541976611 5.2527485550515 1.58345371498866 -8.92299921418565 -1.17676554940916 -5.16989261238659
"32" 3 0 -42.99917289 -22.325837543 -8.57745734066285 4.11536698196051 1.51156695466619 -8.79491220219657 -1.17611921453562 -4.82892961486139
"33" 6 0 -42.99917289 -22.125837543 -9.20374224639756 6.37409688948629 2.03874827587271 -9.28735274412708 -1.31511635643662 -5.52879537612566
"34" 1 0 -42.89917289 -22.625837543 -9.72779646731706 6.90696768971157 2.52002330875283 -7.21038249082156 -1.54594868849929 -5.30514445703794
"35" 5 0 -43.19917289 -22.525837543 -9.3498322034258 3.85190069020803 2.07023507373135 -8.60549603001552 -1.15788794087646 -4.73204023438839
"36" 4 0 -42.69917289 -22.025837543 -8.75383970216038 6.18950963875176 1.61048443206459 -9.17428442955706 -1.29746922689059 -5.55902359051364
"37" 1 0 -42.79917289 -22.325837543 -8.41654311448065 4.59015285054609 1.49956613357356 -8.73723787872843 -1.16130950047504 -4.99404439166179
"38" 3 0 -43.19917289 -22.225837543 -9.25305417808952 5.94662306412049 2.01346811354936 -9.10314553398993 -1.3437101468985 -5.39121000993558
"39" 6 0 -42.99917289 -22.625837543 -9.87008233581494 6.62996999280447 2.61820417489884 -7.48630914205412 -1.51975737831102 -5.19003325564112
"40" 2 0 -43.29917289 -22.325837543 -9.10884626829334 5.19531473426774 1.82529147182365 -8.74761184839601 -1.33021639829983 -5.08313403482278
"41" 1 0 -43.09917289 -22.425837543 -8.81576186281512 3.88601446467858 1.66218553233328 -8.73974485417483 -1.17823392017251 -4.75116125000688
"42" 5 0 -42.49917289 -22.425837543 -8.1229847975436 4.51598212149123 1.46927222165029 -8.26416015511512 -1.14317260568077 -4.90664952341382
"43" 6 0 -42.99917289 -22.225837543 -8.71719106003754 4.8766334728149 1.63026246849896 -8.93965943495176 -1.2274628315637 -5.00996355901822
"44" 1 0 -43.09917289 -22.225837543 -9.25486475627947 5.90013110375271 1.99939859190622 -9.17579594780707 -1.32274761220781 -5.37575649632938
"45" 2 0 -43.09917289 -22.525837543 -8.48616585157641 3.33937132644566 1.48179436699794 -8.66121108585873 -1.15287387447298 -4.69217500761158
"46" 5 0 -42.69917289 -22.125837543 -8.25644586701197 4.99796373831037 1.36337999131205 -8.79648876374264 -1.20464920291524 -5.14412228807819
"47" 5 0 -42.79917289 -22.525837543 -9.69300865679966 7.01092786245177 2.43906312169715 -7.47614073347023 -1.52346905343752 -5.39011086838505
"48" 2 0 -42.89917289 -22.125837543 -8.75850808653559 5.70209748303484 1.68996466426715 -9.1393355925075 -1.25452257398606 -5.29275650223048
"49" 1 0 -42.59917289 -22.225837543 -8.11345883374188 4.68101242683684 1.30727149154828 -8.60723925139242 -1.19451542508023 -5.06991647245798
